        55  |       5708  |         37  | p1URZ | 
        68  |       5831  |         33  | 2Qy  | 
        56  |       5778  |         97  | GWmWd | 
        67  |       5749  |         58  | Zh5V- | 
        61  |       5955  |         77  | 7SLW | 
        47  |       5840  |         90  | Ho2P | 
        66  |       5856  |         97  | lirr | 
        70  |       5704  |         55  | S:gU | 
        60  |       5716  |         60  | 1STyt | 
        54  |       5862  |         29  | qRx? | 
        63  |       5899  |         94  | t4_U% | 
        60  |       5889  |         12  | 4cyFj | 
        58  |       5863  |         69  | AkPb | 
        73  |       5956  |         75  | 5io2u | 
        65  |       5808  |         69  | iPc. | 
        50  |       5817  |         10  | oXgx | 
        64  |       5964  |         65  | ?ksA | 
        74  |       5789  |         50  | ukvW | 
        60  |       5647  |         27  | dLjZQ | 
        45  |       5790  |         57  | 4BS  | 
        62  |       5961  |         48  | f;J1a | 
        67  |       5906  |         44  | FBa4 | 
        67  |       5880  |         69  | p on | 
        55  |       5769  |         26  | poEiE | 
        66  |       5745  |         51  | MGxZ | 
        65  |       5759  |         32  | mYZhs | 
        50  |       5924  |         76  | Tl68 | 
        58  |       5850  |         97  | ex1C | 
        66  |       5948  |         48  | 19RtM | 
        49  |       5887  |         89  | n!:5t | 
        60  |       5814  |         35  | ?ZQ4 | 
        45  |       5933  |         25  | DnL4 | 
        61  |       5885  |         49  | XHdIZ | 
        61  |       5791  |         41  | %6ApD | 
        48  |       5670  |         75  | Sc_N | 
        72  |       5793  |         36  | v!95f | 
        46  |       5927  |         55  | Kba_ | 
        66  |       5901  |         94  | m7HH | 
        70  |       5903  |         24  | wvfP | 
        66  |       5861  |         99  | 1Cza | 
        59  |       5928  |         16  | JVxd  | 
        48  |       5657  |         32  | xCcs | 
        61  |       5851  |         83  | 8FOP0 | 
        72  |       5706  |         76  | dNk9 | 
        68  |       5656  |         57  | 8WKym | 
        48  |       5682  |         97  | _c49Z | 
        57  |       5810  |         60  | 223  | 
        52  |       5645  |         99  | DwdM | 
        71  |       5672  |         51  | .;;OE | 
        52  |       5817  |         29  |  bS3  | 
        51  |       5862  |         98  | WxkP | 
        56  |       5854  |         79  | BeFp | 
        52  |       5745  |         31  | dgXdg | 
        73  |       5959  |         86  | Hp%. | 
        46  |       5978  |         50  | gM21 | 
        45  |       5660  |         61  | Tsv- | 
        53  |       5752  |         60  | QlPVU | 
        72  |       5957  |         98  | s5B8 | 
        53  |       5660  |         27  | ZCL4P | 
        50  |       5893  |         23  | ljLvT | 
        66  |       5667  |         58  | 1Mr- | 
        68  |       5972  |         69  | hpVta | 
        71  |       5670  |         72  | 6q_tf | 
        53  |       5675  |         71  | Zr1dr | 
        67  |       5834  |         56  | tp1A | 
        57  |       5947  |         97  | W6RID | 
        74  |       5770  |         44  | 4bQE0 | 
        56  |       5907  |         31  | 1G7oR | 
        57  |       5905  |         62  | .0R2 | 
        70  |       5890  |         13  | MV.rf | 
        66  |       5826  |         48  | cpYQ4 | 
        51  |       5971  |         83  | iuyCO | 
        59  |       5734  |         93  | QnUZw | 
        55  |       5789  |         75  | yHDj | 
        70  |       5735  |         60  | 7E8L3 | 
        47  |       5746  |         91  | UvgS | 
        56  |       5826  |         32  | zkK5S | 
        51  |       5706  |         70  | GKok | 
        62  |       5721  |         22  | Y8jmQ | 
        59  |       5732  |         42  | oRYM | 
        73  |       5974  |         85  | ahnnm | 
        46  |       5777  |         83  | V2F5q | 
        50  |       5809  |         38  | n9a4g | 
        74  |       5838  |         66  | KLQ9 | 
        51  |       5701  |         51  | iNGD | 
        60  |       5715  |         42  | 7dQp | 
        67  |       5761  |         54  | Veys: | 
        61  |       5645  |         85  | Po2q | 
        69  |       5821  |         26  | 2I4oe | 
        75  |       5744  |         14  | 4s_Lq | 
        48  |       5657  |         50  | %jbt | 
        59  |       5845  |         13  | 0SBE | 
        47  |       5979  |         10  | zU4R | 
        56  |       5729  |         68  | tyBy5 | 
        66  |       5789  |         97  | L?gOp | 
        46  |       5731  |         78  | TErb | 
        74  |       5978  |         41  | ?j ;  | 
        65  |       5729  |         88  | FycH | 
        49  |       5696  |         78  | kP2P6 | 
        75  |       5792  |         47  | 7vT8 | 
        50  |       5791  |         99  | eIphJ | 
        64  |       5681  |         52  | F!KR | 
        55  |       5964  |         85  | dX:s | 
        61  |       5757  |         87  | FFLJu | 
        74  |       5797  |         35  | 5cUr4 | 
        48  |       5896  |         97  | .zpT | 
        52  |       5757  |         69  | zFC1 | 
        71  |       5880  |         94  | 0Aes | 
        69  |       5743  |         41  | nH;1A | 
        47  |       5949  |         33  | WvVfX | 
        67  |       5681  |         13  | zzrlr | 
        72  |       5664  |         83  | r8T3 | 
        67  |       5974  |         69  | .q0H | 
        50  |       5850  |         94  | J?4Q | 
        61  |       5718  |         82  | o-oa | 
        48  |       5806  |         33  | z?I0x | 
        62  |       5908  |         91  | %pTDt | 
        72  |       5739  |         68  | aMUD | 
        45  |       5776  |         20  | FNkV | 
        63  |       5649  |         47  | e2Rj! | 
        69  |       5855  |         88  | !mbz | 
        51  |       5831  |         14  | dB.I | 
        48  |       5871  |         93  | N.:6; | 
        64  |       5665  |         50  | dkCk | 
        58  |       5916  |         13  | i9ex  | 
        75  |       5780  |         49  | JwCh- | 
        75  |       5764  |         49  | 3TfV | 
        53  |       5966  |         90  | Kkd3B | 
